,New South Wales,Victoria,Queensland,Western Australia,South Australia,Tasmania,Northern Territory,ACT,none
1999,1426.30 ,1346.30 ,1009.70 ,688.50 ,328.00 ,95.80 ,76.40 ,0 ,0
2000,1450.50 ,1337.20 ,1020.00 ,708.10 ,329.30 ,93.60 ,73.20 ,0 ,0
2001,1445.70 ,1371.90 ,1057.80 ,722.90 ,328.10 ,97.20 ,73.40 ,0 ,0
2002,1510.50 ,1330.60 ,1064.00 ,720.00 ,357.30 ,99.50 ,56.80 ,0 ,0
2003,1574.80 ,1364.90 ,1081.10 ,730.30 ,371.50 ,103.40 ,58.70 ,0 ,0
2004,1544.90 ,1356.50 ,1225.10 ,748.20 ,355.60 ,107.40 ,61.50 ,0 ,0
2005,1546.00 ,1429.50 ,1279.50 ,757.10 ,350.10 ,111.60 ,73.00 ,0 ,0
2006,1568.90 ,1433.90 ,1329.00 ,820.70 ,375.50 ,113.30 ,82.80 ,0 ,0
2007,1610.70 ,1426.10 ,1287.30 ,828.00 ,372.50 ,115.50 ,96.00 ,0 ,0
2008,1593.50 ,1421.30 ,1345.70 ,917.20 ,357.20 ,113.80 ,95.00 ,0 ,0
2009,1645.30 ,1426.70 ,1294.40 ,905.70 ,343.70 ,113.70 ,94.10 ,0 ,0
2010,1667.80 ,1448.50 ,1249.60 ,980.30 ,342.80 ,113.80 ,99.70 ,0 ,0
2011,1621.30 ,1457.30 ,1314.50 ,982.10 ,307.70 ,107.00 ,98.20 ,0 ,0
2012,1568.40 ,1425.30 ,1334.40 ,1018.10 ,356.30 ,112.30 ,100.20 ,0 ,0
2013,1516.50 ,1423.30 ,1335.80 ,1065.20 ,343.60 ,107.50 ,99.10 ,0 ,0
2014,1466.80 ,1412.40 ,1433.30 ,1044.20 ,363.60 ,104.40 ,84.00 ,0 ,0
2015,1515.50 ,1441.70 ,1461.80 ,1123.60 ,323.20 ,106.50 ,83.90 ,0 ,0
2016,1522.70 ,1409.50 ,1529.20 ,1175.40 ,294.10 ,106.80 ,83.30 ,0 ,0
2017,1554.50 ,1338.50 ,1547.40 ,1210.90 ,336.00 ,110.00 ,90.20 ,0 ,0
2018,1547.80 ,1305.40 ,1515.60 ,1265.00 ,321.30 ,107.60 ,133.00 ,0 ,0
2019,1468.80 ,1235.60 ,1477.50 ,1271.90 ,312.70 ,99.40 ,147.90 ,0 ,0
